participant_id,groupstatus,total_gestures,rep_gestures,total_pretend_episodes,episodes_with_gesture,prop_episodes_with_gesture,prop_rep,mlu,mlu_missing_flag,rep_gesture_present,Project,FoxHOS07,AliceHOS07,AlanHOS07,FoxHOS08,AlanHOS08,FoxHOS09,AlanHOS09,avg07,avg08,avg09,max_avg,Year
22,TD,12,1,112,12,0.10714285714285714,0.08333333333333333,3.4479166666666665,FALSE,1,2,10,9,9,4,3,8,2,9.333333333333334,3.5,5,9.333333333333334,10
25,TD,2,2,21,2,0.09523809523809525,1,4.7,FALSE,1,2,1,2,4,3,5,8,0,2.333333333333333,4,4,4,10
28,TD,7,1,17,7,0.4117647058823529,0.14285714285714285,5.222222222222222,FALSE,1,2,2,1,1,3,4,5,0,1.3333333333333333,3.5,2.5,3.5,10
29,TD,100,26,326,100,0.3067484662576687,0.26,4.180616740088106,FALSE,1,2,6,6,2,8,5,4,0,4.666666666666667,6.5,2,6.5,10
37,TD,0,0,4,0,0,NA,3,FALSE,0,2,6,3,2,3,4,2,0,3.6666666666666665,3.5,1,3.6666666666666665,10
38,TD,10,2,28,10,0.35714285714285715,0.2,4.176470588235294,FALSE,1,2,8,4,2,8,2,7,0,4.666666666666667,5,3.5,5,10
40,TD,12,5,131,12,0.0916030534351145,0.4166666666666667,4.714285714285714,FALSE,1,2,3,1,4,4,6,0,0,2.6666666666666665,5,0,5,10
42,TD,10,1,58,10,0.1724137931034483,0.1,3.959183673469388,FALSE,1,2,2,2,1,10,8,10,0,1.6666666666666667,9,5,9,10
43,TD,2,0,297,2,0.00673400673400673,0,5.003690036900369,FALSE,0,2,8,10,10,10,8,10,0,9.333333333333334,9,5,9.333333333333334,10
44,TD,1,1,26,1,0.03846153846153846,1,4.136363636363637,FALSE,1,2,3,4,3,9,10,10,0,3.333333333333333,9.5,5,9.5,10
45,TD,0,0,4,0,0,NA,5.25,FALSE,0,2,1,4,1,6,2,4,0,2,4,2,4,10
46,PL,13,0,241,13,0.05394190871369295,0,1.8008298755186722,FALSE,0,3,6,1,1,0,0,0,0,2.6666666666666665,0,0,2.6666666666666665,10
54,TD,0,0,18,0,0,NA,4.222222222222222,FALSE,0,2,3,7,3,3,6,7,0,4.333333333333333,4.5,3.5,4.5,10
58,TD,17,3,234,17,0.07264957264957266,0.17647058823529413,3.883495145631068,FALSE,1,2,8,3,3,3,1,7,4,4.666666666666667,2,5.5,5.5,10
61,TD,4,0,8,4,0.5,0,4,FALSE,0,2,0,2,2,6,8,4,4,1.3333333333333333,7,4,7,10
68,TD,0,0,4,0,0,NA,6,FALSE,0,2,8,6,10,1,4,2,0,8,2.5,1,8,10
75,TD,3,3,5,3,0.6,1,1,FALSE,1,2,2,1,3,9,3,0,0,2,6,0,6,10
84,TD,6,0,296,6,0.02027027027027027,0,3.3253968253968256,FALSE,0,2,3,3,1,3,3,4,4,2.333333333333333,3,4,4,10
93,PL,2,0,37,2,0.05405405405405406,0,3.3783783783783785,FALSE,0,3,1,1,1,9,2,10,2,1,5.5,6,6,10
94,PL,3,0,117,3,0.02564102564102564,0,2.923076923076923,FALSE,0,3,3,4,3,10,10,9,10,3.333333333333333,10,9.5,10,10
99,PL,3,0,77,3,0.03896103896103896,0,4.467532467532467,FALSE,0,3,3,2,2,2,2,8,0,2.333333333333333,2,4,4,10
102,TD,11,1,130,11,0.08461538461538462,0.09090909090909093,5.782608695652174,FALSE,1,2,7,8,3,3,4,1,1,6,3.5,1,6,10
103,TD,29,0,259,29,0.11196911196911195,0,4.745454545454545,FALSE,0,2,2,8,4,8,4,4,4,4.666666666666667,6,4,6,10
106,TD,8,1,161,8,0.04968944099378881,0.125,3,FALSE,1,2,3,6,2,4,5,3,0,3.6666666666666665,4.5,1.5,4.5,10
117,PL,2,0,121,2,0.01652892561983471,0,3.2975206611570247,FALSE,0,3,3,3,1,3,5,6,2,2.333333333333333,4,4,4,10
132,PL,1,0,58,1,0.01724137931034482,0,3.310344827586207,FALSE,0,3,0,0,0,3,6,0,1,0,4.5,0.5,4.5,10
135,PL,0,0,47,0,0,NA,4.0212765957446805,FALSE,0,3,4,4,1,3,3,10,4,3,3,7,7,10
150,PL,22,2,100,22,0.22,0.09090909090909093,5.15,FALSE,1,3,0,0,0,1,1,8,2,0,1,5,5,10
22,TD,2,1,9,2,0.2222222222222222,0.5,5.777777777777778,FALSE,1,2,10,9,9,4,3,8,2,9.333333333333334,3.5,5,9.333333333333334,8
28,TD,4,1,16,4,0.25,0.25,4.75,FALSE,1,2,2,1,1,3,4,5,0,1.3333333333333333,3.5,2.5,3.5,8
35,PL,6,0,86,6,0.06976744186046512,0,5.709302325581396,FALSE,0,3,2,1,1,0,0,0,0,1.3333333333333333,0,0,1.3333333333333333,8
37,TD,2,0,105,2,0.01904761904761905,0,4.352380952380952,FALSE,0,2,6,3,2,3,4,2,0,3.6666666666666665,3.5,1,3.6666666666666665,8
38,TD,2,0,64,2,0.03125,0,4.296875,FALSE,0,2,8,4,2,8,2,7,0,4.666666666666667,5,3.5,5,8
43,TD,2,0,14,2,0.14285714285714285,0,6.428571428571429,FALSE,0,2,8,10,10,10,8,10,0,9.333333333333334,9,5,9.333333333333334,8
44,TD,0,0,3,0,0,NA,2,FALSE,0,2,3,4,3,9,10,10,0,3.333333333333333,9.5,5,9.5,8
45,TD,12,1,69,12,0.17391304347826086,0.08333333333333333,4.420289855072464,FALSE,1,2,1,4,1,6,2,4,0,2,4,2,4,8
46,PL,0,0,2,0,0,NA,1,FALSE,0,3,6,1,1,0,0,0,0,2.6666666666666665,0,0,2.6666666666666665,8
54,TD,0,0,5,0,0,NA,1.8,FALSE,0,2,3,7,3,3,6,7,0,4.333333333333333,4.5,3.5,4.5,8
58,TD,0,0,23,0,0,NA,4.434782608695652,FALSE,0,2,8,3,3,3,1,7,4,4.666666666666667,2,5.5,5.5,8
61,TD,0,0,6,0,0,NA,2.8333333333333335,FALSE,0,2,0,2,2,6,8,4,4,1.3333333333333333,7,4,7,8
75,TD,4,3,75,4,0.05333333333333334,0.75,2.6533333333333333,FALSE,1,2,2,1,3,9,3,0,0,2,6,0,6,8
84,TD,3,0,40,3,0.075,0,2.475,FALSE,0,2,3,3,1,3,3,4,4,2.333333333333333,3,4,4,8
93,PL,0,0,26,0,0,NA,4.038461538461538,FALSE,0,3,1,1,1,9,2,10,2,1,5.5,6,6,8
94,PL,11,2,81,11,0.13580246913580246,0.18181818181818185,3.7901234567901234,FALSE,1,3,3,4,3,10,10,9,10,3.333333333333333,10,9.5,10,8
102,TD,9,1,133,9,0.06766917293233082,0.1111111111111111,4.6992481203007515,FALSE,1,2,7,8,3,3,4,1,1,6,3.5,1,6,8
103,TD,11,1,109,11,0.10091743119266056,0.09090909090909093,3.972477064220183,FALSE,1,2,2,8,4,8,4,4,4,4.666666666666667,6,4,6,8
106,TD,2,0,19,2,0.10526315789473684,0,3.1052631578947367,FALSE,0,2,3,6,2,4,5,3,0,3.6666666666666665,4.5,1.5,4.5,8
117,PL,1,0,1,1,1,0,1,FALSE,0,3,3,3,1,3,5,6,2,2.333333333333333,4,4,4,8
132,PL,16,0,51,16,0.3137254901960784,0,2.4901960784313726,FALSE,0,3,0,0,0,3,6,0,1,0,4.5,0.5,4.5,8
135,PL,8,0,153,8,0.05228758169934641,0,3.797385620915033,FALSE,0,3,4,4,1,3,3,10,4,3,3,7,7,8
150,PL,8,0,58,8,0.13793103448275862,0,4.103448275862069,FALSE,0,3,0,0,0,1,1,8,2,0,1,5,5,8
22,TD,8,0,100,8,0.08,0,4.482352941176471,FALSE,0,2,10,9,9,4,3,8,2,9.333333333333334,3.5,5,9.333333333333334,7
25,TD,21,4,88,21,0.23863636363636365,0.1904761904761905,3.028169014084507,FALSE,1,2,1,2,4,3,5,8,0,2.333333333333333,4,4,4,7
28,TD,38,1,334,38,0.11377245508982035,0.02631578947368421,2.973076923076923,FALSE,1,2,2,1,1,3,4,5,0,1.3333333333333333,3.5,2.5,3.5,7
29,TD,48,11,261,48,0.1839080459770115,0.22916666666666663,4.927927927927928,FALSE,1,2,6,6,2,8,5,4,0,4.666666666666667,6.5,2,6.5,7
30,PL,0,0,1,0,0,NA,2,FALSE,0,3,3,3,1,4,2,4,0,2.333333333333333,3,2,3,7
35,PL,1,0,24,1,0.04166666666666666,0,2.125,FALSE,0,3,2,1,1,0,0,0,0,1.3333333333333333,0,0,1.3333333333333333,7
37,TD,6,0,59,6,0.1016949152542373,0,4.46,FALSE,0,2,6,3,2,3,4,2,0,3.6666666666666665,3.5,1,3.6666666666666665,7
38,TD,13,0,205,13,0.06341463414634146,0,4.024096385542169,FALSE,0,2,8,4,2,8,2,7,0,4.666666666666667,5,3.5,5,7
40,TD,17,0,65,17,0.26153846153846155,0,2.238095238095238,FALSE,0,2,3,1,4,4,6,0,0,2.6666666666666665,5,0,5,7
42,TD,6,0,54,6,0.1111111111111111,0,3.5106382978723403,FALSE,0,2,2,2,1,10,8,10,0,1.6666666666666667,9,5,9,7
43,TD,3,0,198,3,0.01515151515151515,0,5.281767955801105,FALSE,0,2,8,10,10,10,8,10,0,9.333333333333334,9,5,9.333333333333334,7
44,TD,7,3,21,7,0.3333333333333333,0.42857142857142855,4.5,FALSE,1,2,3,4,3,9,10,10,0,3.333333333333333,9.5,5,9.5,7
45,TD,25,1,240,25,0.10416666666666669,0.04,3.7788461538461537,FALSE,1,2,1,4,1,6,2,4,0,2,4,2,4,7
46,PL,0,0,53,0,0,NA,0,FALSE,0,3,6,1,1,0,0,0,0,2.6666666666666665,0,0,2.6666666666666665,7
54,TD,26,9,204,26,0.12745098039215683,0.34615384615384615,3.9351351351351354,FALSE,1,2,3,7,3,3,6,7,0,4.333333333333333,4.5,3.5,4.5,7
58,TD,18,1,157,18,0.11464968152866242,0.05555555555555555,3.4963503649635035,FALSE,1,2,8,3,3,3,1,7,4,4.666666666666667,2,5.5,5.5,7
61,TD,2,0,28,2,0.07142857142857142,0,3.1923076923076925,FALSE,0,2,0,2,2,6,8,4,4,1.3333333333333333,7,4,7,7
68,TD,1,0,16,1,0.0625,0,2,FALSE,0,2,8,6,10,1,4,2,0,8,2.5,1,8,7
75,TD,1,1,24,1,0.04166666666666666,1,3.772727272727273,FALSE,1,2,2,1,3,9,3,0,0,2,6,0,6,7
84,TD,22,1,155,22,0.14193548387096774,0.04545454545454545,3,FALSE,1,2,3,3,1,3,3,4,4,2.333333333333333,3,4,4,7
93,PL,4,0,36,4,0.1111111111111111,0,2.9722222222222223,FALSE,0,3,1,1,1,9,2,10,2,1,5.5,6,6,7
94,PL,27,4,233,27,0.11587982832618024,0.14814814814814814,3.6180257510729614,FALSE,1,3,3,4,3,10,10,9,10,3.333333333333333,10,9.5,10,7
99,PL,0,0,244,0,0,NA,0,FALSE,0,3,3,2,2,2,2,8,0,2.333333333333333,2,4,4,7
102,TD,9,0,76,9,0.11842105263157894,0,3.6666666666666665,FALSE,0,2,7,8,3,3,4,1,1,6,3.5,1,6,7
103,TD,10,2,222,10,0.04504504504504504,0.2,4.391959798994975,FALSE,1,2,2,8,4,8,4,4,4,4.666666666666667,6,4,6,7
106,TD,31,0,75,31,0.4133333333333334,0,1.880952380952381,FALSE,0,2,3,6,2,4,5,3,0,3.6666666666666665,4.5,1.5,4.5,7
132,PL,44,2,147,44,0.29931972789115646,0.04545454545454545,3.251700680272109,FALSE,1,3,0,0,0,3,6,0,1,0,4.5,0.5,4.5,7
135,PL,60,12,551,60,0.1088929219600726,0.2,2.9618874773139745,FALSE,1,3,4,4,1,3,3,10,4,3,3,7,7,7
150,PL,1,0,29,1,0.03448275862068965,0,3.5517241379310347,FALSE,0,3,0,0,0,1,1,8,2,0,1,5,5,7
