ChildID,Project,FoxHOS07,AliceHOS07,AlanHOS07,FoxHOS08,AlanHOS08,FoxHOS09,AlanHOS09,FoxHOS07_replaced,AliceHOS07_replaced,AlanHOS07_replaced,FoxHOS08_replaced,AlanHOS08_replaced,FoxHOS09_replaced,AlanHOS09_replaced
22,2,GBM-EG,GBM-IG,GBM-IG,RS,AC,GB1-EG,DS,10,9,9,4,3,8,2
25,2,NS,DS,RS,AC,IGB,GB1-EG,NA,1,2,4,3,5,8,0
28,2,DS,NS,NS,AC,RS,IGB,NA,2,1,1,3,4,5,0
29,2,IGBA,IGBA,DS,GB1-EG,IGB,RS,NA,6,6,2,8,5,4,0
37,2,IGBA,AC,DS,AC,RS,DS,NA,6,3,2,3,4,2,0
38,2,GB1-EG,RS,DS,GB1-EG,DS,GB1-IG,NA,8,4,2,8,2,7,0
40,2,AC,NS,RS,RS,IGBA,NA,NA,3,1,4,4,6,0,0
42,2,DS,DS,NS,GBM-EG,GB1-EG,GBM-EG,NA,2,2,1,10,8,10,0
43,2,GB1-EG,GBM-EG,GBM-EG,GBM-EG,GB1-EG,GBM-EG,NA,8,10,10,10,8,10,0
44,2,AC,RS,AC,GBM-IG,GBM-EG,GBM-EG,NA,3,4,3,9,10,10,0
45,2,NS,RS,NS,IGBA,DS,RS,NA,1,4,1,6,2,4,0
54,2,AC,GB1-IG,AC,AC,IGBA,GB1-IG,NA,3,7,3,3,6,7,0
58,2,GB1-EG,AC,AC,AC,NS,GB1-IG,RS,8,3,3,3,1,7,4
61,2,NA,DS,DS,IGBA,GB1-EG,RS,RS,0,2,2,6,8,4,4
68,2,GB1-EG,IGBA,GBM-EG,NS,RS,DS,NA,8,6,10,1,4,2,0
75,2,DS,NS,AC,GBM-IG,AC,NA,NA,2,1,3,9,3,0,0
84,2,AC,AC,NS,AC,AC,RS,RS,3,3,1,3,3,4,4
102,2,GB1-IG,GB1-EG,AC,AC,RS,NS,NS,7,8,3,3,4,1,1
103,2,DS,GB1-EG,RS,GB1-EG,RS,RS,RS,2,8,4,8,4,4,4
106,2,AC,IGBA,DS,RS,IGB,AC,NA,3,6,2,4,5,3,0
30,3,AC,AC,NS,RS,DS,RS,NA,3,3,1,4,2,4,0
35,3,DS,NS,NS,NA,NA,NA,NA,2,1,1,0,0,0,0
46,3,IGBA,NS,NS,NA,NA,NA,NA,6,1,1,0,0,0,0
93,3,NS,NS,NS,GBM-IG,DS,GBM-EG,DS,1,1,1,9,2,10,2
94,3,AC,RS,AC,GBM-EG,GBM-EG,GBM-IG,GBM-EG,3,4,3,10,10,9,10
98,3,NS,NS,NS,NS,NA,NA,NA,1,1,1,1,0,0,0
99,3,AC,DS,DS,DS,DS,GB1-EG,NA,3,2,2,2,2,8,0
117,3,AC,AC,NS,AC,IGB,IGBA,DS,3,3,1,3,5,6,2
135,3,RS,RS,NS,AC,AC,GBM-EG,RS,4,4,1,3,3,10,4
140,3,NA,NA,NA,NS,NS,RS,AC,0,0,0,1,1,4,3
150,3,NA,NA,NA,NS,NS,GB1-EG,DS,0,0,0,1,1,8,2
